Open,Low,High,Close,Volume,year,Date
23.8071,23.7857,24.0957,24.06,15713600,2009,2009-08-13
23.9914,23.6471,24.0324,23.8257,10922000,2009,2009-08-14
23.3643,22.7743,23.37,22.7986,18727900,2009,2009-08-17
23.09,23.0586,23.4629,23.4286,15398300,2009,2009-08-18
23.25,23.2071,23.6143,23.5143,14759700,2009,2009-08-19
23.5686,23.5157,23.8171,23.7614,12215400,2009,2009-08-20
23.95,23.8286,24.1957,24.1743,14859800,2009,2009-08-21
24.3029,24.0386,24.3871,24.1514,14533200,2009,2009-08-24
24.2086,24.1614,24.42,24.2,11584100,2009,2009-08-25
24.1314,23.8229,24.2214,23.9157,10857100,2009,2009-08-26
24.1071,23.5471,24.2243,24.2071,16042200,2009,2009-08-27
24.61,24.0757,24.6414,24.2929,16203600,2009,2009-08-28
24.0229,23.7857,24.1214,24.03,11119200,2009,2009-08-31
23.9986,23.5629,24.2857,23.614,16751000,2009,2009-09-01
23.5171,23.4443,23.9443,23.5971,13008900,2009,2009-09-02
23.7771,23.5714,23.8714,23.7929,10498400,2009,2009-09-03
23.8965,23.87,24.3857,24.33,13379600,2009,2009-09-04
24.7114,24.5714,24.7343,24.7043,11251700,2009,2009-09-08
24.6829,24.2429,24.9243,24.4486,28967400,2009,2009-09-09
24.58,24.4014,24.75,24.6514,17540500,2009,2009-09-10
24.7014,24.41,24.74,24.5943,12462900,2009,2009-09-11
24.4043,24.3214,24.8429,24.8171,11500400,2009,2009-09-14
24.8629,24.7986,25.0929,25.0229,15231100,2009,2009-09-15
25.4271,25.4114,26.1071,25.9814,26929400,2009,2009-09-16
25.9971,25.9957,26.6843,26.3643,28949000,2009,2009-09-17
26.5471,26.3943,26.65,26.4314,21485100,2009,2009-09-18
26.3271,25.9457,26.4514,26.2886,15632700,2009,2009-09-21
26.4557,26.1214,26.4829,26.3543,12741200,2009,2009-09-22
26.4857,26.4329,26.9857,26.5,21198700,2009,2009-09-23
26.7429,26.11,26.8143,26.26,19674300,2009,2009-09-24
26.0014,25.92,26.5,26.0529,15901400,2009,2009-09-25
26.2671,26.19,26.6686,26.5931,12051600,2009,2009-09-28
26.6757,26.33,26.7714,26.4829,12335200,2009,2009-09-29
26.59,26.0875,26.6357,26.4786,19270900,2009,2009-09-30
26.4786,25.8143,26.6029,25.8371,18739700,2009,2009-10-01
25.9157,25.9071,26.5629,26.4143,19761000,2009,2009-10-02
26.6,26.3243,26.6943,26.5749,15111900,2009,2009-10-05
26.82,26.7571,27.1443,27.1443,21610200,2009,2009-10-06
27.1086,27.0046,27.2214,27.1786,16631000,2009,2009-10-07
27.2371,26.9843,27.35,27.0386,15650400,2009,2009-10-08
26.9957,26.9457,27.2429,27.21,10474000,2009,2009-10-09
27.2886,27.0914,27.3586,27.2586,10286600,2009,2009-10-12
27.2329,27.1,27.31,27.1457,12429300,2009,2009-10-13
27.4643,27.1757,27.4743,27.3271,13411100,2009,2009-10-14
27.09,27.0757,27.2743,27.2229,13341300,2009,2009-10-15
27.05,26.8343,27.1943,26.8643,15408100,2009,2009-10-16
26.8357,26.5071,27.1429,27.1229,33651100,2009,2009-10-19
28.6571,28.2643,28.8214,28.3943,40751400,2009,2009-10-20
28.5029,28.4614,29.8157,29.2743,42633100,2009,2009-10-21
29.2429,28.93,29.6929,29.3143,28264000,2009,2009-10-22
29.3857,29.0329,29.4,29.1343,15028100,2009,2009-10-23
